股票代码,股票简称,最新价,最新涨跌幅,牛叉诊股综合评分,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分,market_code,code
600529.SH,山东药玻,26.21,1.984,6.2,6.3,6.2,5.5,3.5,7.6,17,600529
600535.SH,天士力,16.38,2.889,6.2,6.6,5.2,6.9,4.7,6.9,17,600535
600601.SH,方正科技,2.42,-0.82,6.2,5.8,6.0,7.2,4.8,7.0,17,600601
600673.SH,东阳光,7.35,-2.261,6.2,8.0,7.1,4.4,4.5,5.0,17,600673
600699.SH,均胜电子,15.54,-0.448,6.2,5.7,5.2,7.7,4.5,7.3,17,600699
600710.SH,苏美达,7.8,4.418,6.2,6.9,5.4,5.5,4.5,7.3,17,600710
600821.SH,金开新能,5.66,-1.222,6.2,6.6,7.0,5.5,4.9,6.0,17,600821
600845.SH,宝信软件,42.73,-2.22,6.2,5.7,6.4,5.5,4.5,7.6,17,600845
600863.SH,内蒙华电,4.29,1.659,6.2,8.6,5.3,3.8,4.9,6.0,17,600863
600897.SH,厦门空港,12.95,-0.154,6.2,5.4,6.1,8.8,5.3,6.2,17,600897
600995.SH,南网储能,9.22,-1.073,6.2,6.7,8.3,5.5,4.9,4.7,17,600995
601216.SH,君正集团,3.87,0.259,6.2,7.8,6.0,3.3,4.5,6.7,17,601216
601669.SH,中国电建,5.02,0.601,6.2,6.9,5.5,5.5,4.5,7.0,17,601669
601868.SH,中国能建,2.15,-0.463,6.2,8.5,4.7,5.5,1.0,7.2,17,601868
601869.SH,长飞光纤,25.69,-1.872,6.2,7.3,7.6,5.0,1.1,6.6,17,601869
601877.SH,正泰电器,19.4,-0.97,6.2,6.0,7.1,5.5,4.5,7.0,17,601877
601880.SH,辽港股份,1.46,-0.68,6.2,7.8,6.7,5.5,4.0,5.1,17,601880
603233.SH,大参林,24.62,-0.405,6.2,6.6,7.8,5.5,1.1,7.0,17,603233
603365.SH,水星家纺,16.13,-0.555,6.2,8.6,5.5,5.5,1.0,6.5,17,603365
603505.SH,金石资源,27.29,3.685,6.2,6.6,6.6,6.4,1.0,7.3,17,603505
603518.SH,锦泓集团,9.66,0.104,6.2,5.1,7.6,7.3,1.0,7.8,17,603518
603619.SH,中曼石油,19.31,0.052,6.2,6.1,6.3,7.7,1.1,7.5,17,603619
603638.SH,艾迪精密,15.69,-0.064,6.2,8.3,6.2,5.5,1.0,6.1,17,603638
603690.SH,至纯科技,25.0,-0.12,6.2,6.0,6.7,7.7,1.2,7.0,17,603690
603712.SH,七一二,27.8,0.506,6.2,6.5,7.6,5.5,1.1,7.2,17,603712
603786.SH,科博达,59.51,-0.817,6.2,7.5,7.4,5.5,1.0,6.1,17,603786
603882.SH,金域医学,59.81,-0.383,6.2,7.6,7.7,4.7,1.2,6.3,17,603882
605368.SH,蓝天燃气,11.66,0.0,6.2,7.7,7.0,5.5,1.0,6.1,17,605368
688083.SH,中望软件,80.65,-1.382,6.2,6.6,6.8,7.7,1.0,6.5,17,688083
688127.SH,蓝特光学,19.67,-0.857,6.2,6.6,6.2,7.7,1.0,7.0,17,688127
688253.SH,英诺特,31.65,0.893,6.2,8.7,8.0,4.4,0.0,5.4,17,688253
688375.SH,国博电子,64.84,0.031,6.2,7.3,6.6,5.5,1.1,7.1,17,688375
688677.SH,海泰新光,53.95,-3.159,6.2,7.9,7.2,5.5,0.0,6.3,17,688677
000012.SZ,南玻A,5.68,-0.873,6.1,7.1,5.1,5.5,4.5,6.6,33,12
000034.SZ,神州数码,26.29,-1.866,6.1,7.0,5.2,5.5,3.5,7.0,33,34
000063.SZ,中兴通讯,24.29,-1.66,6.1,6.6,5.5,5.5,3.5,7.3,33,63
000089.SZ,深圳机场,6.5,-0.612,6.1,6.3,6.5,5.8,5.5,5.8,33,89
000426.SZ,兴业银锡,8.9,-0.447,6.1,5.2,4.6,8.8,4.7,7.2,33,426
000589.SZ,贵州轮胎,5.63,-0.53,6.1,6.1,4.7,6.4,4.5,7.6,33,589
000596.SZ,古井贡酒,218.11,-1.455,6.1,6.6,5.1,5.5,5.0,7.3,33,596
000629.SZ,钒钛股份,3.07,-1.603,6.1,7.0,5.2,5.5,4.2,7.0,33,629
000686.SZ,东北证券,6.88,1.177,6.1,5.6,3.8,8.8,5.2,7.3,33,686
000800.SZ,一汽解放,8.15,-0.488,6.1,6.1,5.6,6.2,4.7,7.2,33,800
000963.SZ,华东医药,33.26,2.181,6.1,6.9,3.9,6.3,4.5,7.3,33,963
001872.SZ,招商港口,18.16,2.137,6.1,8.2,5.6,5.5,1.6,6.2,33,1872
002045.SZ,国光电器,12.03,0.167,6.1,5.1,5.1,8.1,4.5,7.6,33,2045
002056.SZ,横店东磁,13.25,-0.898,6.1,6.4,5.1,5.8,4.5,7.5,33,2056
002179.SZ,中航光电,34.14,-0.059,6.1,5.9,5.4,5.5,4.5,7.7,33,2179
002226.SZ,江南化工,4.37,-0.456,6.1,5.8,5.9,6.2,4.5,7.1,33,2226
002294.SZ,信立泰,29.36,-0.677,6.1,6.7,6.2,5.5,4.5,6.3,33,2294
002327.SZ,富安娜,10.51,-1.5,6.1,8.7,3.9,4.8,4.5,6.0,33,2327
002430.SZ,杭氧股份,26.65,-1.223,6.1,6.7,5.4,5.5,4.5,7.1,33,2430
002468.SZ,申通快递,7.81,1.693,6.1,5.8,6.9,5.5,4.5,7.0,33,2468
002555.SZ,三七互娱,18.38,-1.183,6.1,6.2,6.1,5.5,4.5,6.9,33,2555
002557.SZ,洽洽食品,33.95,0.384,6.1,6.7,6.0,5.5,4.5,6.6,33,2557
002612.SZ,朗姿股份,17.0,-1.048,6.1,5.2,6.1,6.2,4.5,7.7,33,2612
002624.SZ,完美世界,10.69,-1.475,6.1,6.7,6.8,3.9,4.5,6.6,33,2624
002635.SZ,安洁科技,12.73,0.236,6.1,6.7,2.7,8.1,4.5,7.4,33,2635
002683.SZ,广东宏大,17.82,1.02,6.1,6.3,5.3,5.9,4.5,7.3,33,2683
002687.SZ,乔治白,4.65,0.649,6.1,5.1,4.3,9.9,4.5,6.9,33,2687
002752.SZ,昇兴股份,4.39,-1.348,6.1,5.1,7.1,7.7,1.0,7.5,33,2752
002841.SZ,视源股份,36.66,0.466,6.1,6.0,7.3,5.5,1.0,7.5,33,2841
002959.SZ,小熊电器,50.56,-0.999,6.1,6.6,6.6,5.5,1.1,7.6,33,2959
